,Asset 1,Asset 2,p-value,Start Time,End Time,Train Days,Test Days,Train Wallet,Test Wallet,Parameters,Train Sharpe Ratio,Test Sharpe Ratio,Backtesting_Period
6,PNUTUSDT,WIFUSDT,1.445393914463844e-10,1727740799999,1740700799999,150,50,10000,10924.673817026243,"[2.0, 50]",-Infinity,0.0747636866586035,3
7,1MBABYDOGEUSDT,ACXUSDT,2.0031479694295773e-10,1727740799999,1740700799999,150,50,10000,9812.05047355185,"[2.0, 50]",-Infinity,-0.09005661905336794,3
8,STEEMUSDT,STGUSDT,4.900889835862699e-10,1727740799999,1740700799999,150,50,19471.198980205205,9639.465749335075,"[2.0, 50]",0.13871912871776443,-0.045542753939979766,3
9,DASHUSDT,JSTUSDT,1.5674254664917584e-9,1727740799999,1740700799999,150,50,9390.75496934183,11028.797739774845,"[2.0, 50]",-0.008167057333019898,0.25191726911690127,3
10,ORCAUSDT,PEPEUSDT,3.221887097963113e-9,1727740799999,1740700799999,150,50,10000,15180.799445451255,"[2.0, 50]",-Infinity,0.3191839485413605,3
11,MTLUSDT,WAXPUSDT,4.763278095000501e-9,1727740799999,1740700799999,150,50,12183.257464872982,9917.95035160434,"[2.0, 50]",0.149304987898479,-0.0282490605761484,3
12,JSTUSDT,SANDUSDT,7.502941163747488e-9,1727740799999,1740700799999,150,50,6971.708081530087,10833.354832475434,"[2.0, 50]",-0.03861761518744485,0.15349023036847406,3
13,MLNUSDT,VELODROMEUSDT,1.864073799833483e-8,1727740799999,1740700799999,150,50,10000,11676.07421152625,"[2.0, 50]",-Infinity,0.11684079513817533,3
14,MBLUSDT,POWRUSDT,2.694908040483511e-8,1727740799999,1740700799999,150,50,10695.31411815582,11128.892743907667,"[2.0, 50]",0.08196622476316995,0.2746438319043294,3
15,MEUSDT,PIVXUSDT,3.5547505683449755e-8,1727740799999,1740700799999,150,50,10000,10474.802984699403,"[2.0, 50]",-Infinity,0.124814802134375,3
16,GALAUSDT,NEOUSDT,4.0027588597126484e-8,1727740799999,1740700799999,150,50,13298.145674672749,9312.948722641322,"[2.0, 50]",0.09516244980545793,-0.08190045609248275,3
17,BTCUSDT,WBTCUSDT,4.084011625642143e-8,1727740799999,1740700799999,150,50,10025.003382587123,10000,"[2.0, 50]",-0.740338467675662,-Infinity,3
18,QIUSDT,SNXUSDT,4.216096148974653e-8,1727740799999,1740700799999,150,50,12621.729465720944,10841.586370616995,"[2.0, 50]",0.12099122778430278,0.14562091918243047,3
19,PYRUSDT,QIUSDT,4.3002218157601114e-8,1727740799999,1740700799999,150,50,12089.006029601365,8594.936854289248,"[2.0, 50]",0.1333280820399989,-0.1753770517552796,3
20,HIFIUSDT,IQUSDT,6.084196569865688e-8,1727740799999,1740700799999,150,50,14536.068815344377,6107.618935133667,"[2.0, 50]",0.19483026046226326,-0.2968859267034839,3
21,RLCUSDT,ZKUSDT,9.413977119667881e-8,1727740799999,1740700799999,150,50,10548.30561738293,9462.205825927984,"[2.0, 50]",0.028929023412858527,-0.07359591539394657,3
22,JSTUSDT,YFIUSDT,1.983873021378726e-7,1727740799999,1740700799999,150,50,14676.375530303723,10438.455463857597,"[2.0, 50]",0.09671493531740781,0.12697647496950407,3
23,FIDAUSDT,UMAUSDT,2.9200583986509696e-7,1727740799999,1740700799999,150,50,11135.915957022238,10248.729835223261,"[2.0, 50]",0.125810027238575,0.05055602169185007,3
